[2024-05-28T06:01:46.755+0000] {processor.py:161} INFO - Started process (PID=44) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-28T06:01:46.775+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-28T06:01:46.780+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.780+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-28T06:01:46.809+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_and_2', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-28T06:01:46.937+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.936+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-05-28T06:01:46.972+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.972+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-05-22 01:00:00+00:00, run_after=2024-05-22 01:00:00+00:00
[2024-05-28T06:01:46.978+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.978+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-05-28T06:01:46.981+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.981+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-05-28T06:01:46.985+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.985+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-05-28T06:01:46.987+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.986+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-05-28T06:01:46.989+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.988+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-05-28T06:01:46.991+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.991+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-05-28T06:01:46.993+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.993+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-05-28T06:01:46.997+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.996+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-05-27 00:00:00+00:00, run_after=2024-05-28 00:00:00+00:00
[2024-05-28T06:01:46.998+0000] {logging_mixin.py:188} INFO - [2024-05-28T06:01:46.998+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-05-28T06:01:47.073+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.323 seconds
